日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-08-23,'300775,三角防务,35.01,36.74,34.83,36.36,36.86,-1.85,-5.019,32.8956,16299772,580845546.52,17347455000.0,1734745500.0
2019-08-22,'300775,三角防务,36.86,38.56,36.04,36.5,36.81,0.05,0.1358,44.2921,21946729,816421745.41,18264130000.0,1826413000.0
2019-08-21,'300775,三角防务,36.81,38.36,34.0,34.45,34.88,1.93,5.5333,47.605,23588299,853901476.97,18239355000.0,1823935500.0
2019-08-20,'300775,三角防务,34.88,35.58,34.21,35.01,35.23,-0.35,-0.9935,28.4777,14110703,491767944.7,17283040000.0,1728304000.0
2019-08-19,'300775,三角防务,35.23,35.55,34.0,34.03,34.64,0.59,1.7032,33.0416,16372114,571556878.66,17456465000.0,1745646500.0
2019-08-16,'300775,三角防务,34.64,35.88,33.13,33.23,33.4,1.24,3.7126,38.8839,19266963,667162542.99,17164120000.0,1716412000.0
2019-08-15,'300775,三角防务,33.4,33.8,32.31,32.5,33.56,-0.16,-0.4768,26.4843,13122963,434769022.53,16549700000.0,1654970000.0
2019-08-14,'300775,三角防务,33.56,34.15,31.9,32.38,32.3,1.26,3.9009,34.0232,16858488,551466344.89,16628980000.0,1662898000.0
2019-08-13,'300775,三角防务,32.3,32.8,30.82,30.9,31.27,1.03,3.2939,27.2479,13501346,433551723.36,16004650000.0,1600465000.0
2019-08-12,'300775,三角防务,31.27,31.44,30.48,30.63,30.77,0.5,1.625,21.2977,10553033,326490387.14,15494285000.0,1549428500.0
2019-08-09,'300775,三角防务,30.77,33.43,30.46,32.6,33.0,-2.23,-6.7576,33.0892,16395700,519112288.54,15246535000.0,1524653500.0
2019-08-08,'300775,三角防务,33.0,35.98,32.85,34.11,35.2,-2.2,-6.25,41.4241,20525642,701149425.2,16351500000.0,1635150000.0
2019-08-07,'300775,三角防务,35.2,36.6,33.0,34.2,34.25,0.95,2.7737,46.4086,22995439,804096840.02,17441600000.0,1744160000.0
2019-08-06,'300775,三角防务,34.25,37.97,34.0,34.51,36.16,-1.91,-5.2821,58.9763,29222740,1043820678.89,16970875000.0,1697087500.0
2019-08-05,'300775,三角防务,36.16,36.16,32.9,33.88,32.87,3.29,10.0091,46.1596,22872069,794863202.3,17917280000.0,1791728000.0
2019-08-02,'300775,三角防务,32.87,33.7,29.75,30.32,31.93,0.94,2.9439,44.4911,22045344,697238738.89,16287085000.0,1628708500.0
2019-08-01,'300775,三角防务,31.93,33.32,31.3,31.33,32.11,-0.18,-0.5606,35.239,17460933,564477736.8,15821315000.0,1582131500.0
2019-07-31,'300775,三角防务,32.11,32.95,30.0,30.76,31.59,0.52,1.6461,37.6045,18633036,585323448.17,15910505000.0,1591050500.0
2019-07-30,'300775,三角防务,31.59,33.95,30.71,31.5,31.3,0.29,0.9265,48.8396,24200007,784961847.01,15652845000.0,1565284500.0
2019-07-29,'300775,三角防务,31.3,31.3,28.02,28.02,28.45,2.85,10.0176,35.2305,17456725,516063082.39,15509150000.0,1550915000.0
2019-07-26,'300775,三角防务,28.45,29.98,27.03,27.53,27.52,0.93,3.3794,32.132,15921422,456109191.41,14096975000.0,1409697500.0
2019-07-25,'300775,三角防务,27.52,28.1,26.97,28.0,27.81,-0.29,-1.0428,27.2687,13511646,371822788.34,13636160000.0,1363616000.0
2019-07-24,'300775,三角防务,27.81,27.81,25.36,25.58,25.28,2.53,10.0079,16.1852,8019783,217449824.8,13779855000.0,1377985500.0
2019-07-23,'300775,三角防务,25.28,25.55,24.35,24.38,24.47,0.81,3.3102,13.8669,6871038,172159270.22,12526240000.0,1252624000.0
2019-07-22,'300775,三角防务,24.47,27.1,24.39,27.0,27.1,-2.63,-9.7048,18.0028,8920408,223504476.75,12124885000.0,1212488500.0
2019-07-19,'300775,三角防务,27.1,27.94,27.04,27.44,27.98,-0.88,-3.1451,13.9713,6922783,190019533.17,13428050000.0,1342805000.0
2019-07-18,'300775,三角防务,27.98,28.4,26.41,27.55,27.6,0.38,1.3768,21.3089,10558575,290374437.4,13864090000.0,1386409000.0
2019-07-17,'300775,三角防务,27.6,28.38,27.32,28.04,28.34,-0.74,-2.6112,16.5109,8181152,226644689.13,13675800000.0,1367580000.0
2019-07-16,'300775,三角防务,28.34,28.76,27.9,28.76,28.32,0.02,0.0706,16.1425,7998610,226434016.73,14042470000.0,1404247000.0
2019-07-15,'300775,三角防务,28.32,28.45,26.83,27.03,27.0,1.32,4.8889,21.8283,10815934,301537534.23,14032560000.0,1403256000.0
2019-07-12,'300775,三角防务,27.0,27.97,26.7,27.8,27.99,-0.99,-3.537,18.5741,9203474,250477656.24,13378500000.0,1337850000.0
2019-07-11,'300775,三角防务,27.99,29.35,27.5,28.8,29.2,-1.21,-4.1438,24.2629,12022268,341383143.78,13869045000.0,1386904500.0
2019-07-10,'300775,三角防务,29.2,30.34,28.51,29.68,29.98,-0.78,-2.6017,23.5114,11649920,342430264.8,14468600000.0,1446860000.0
2019-07-09,'300775,三角防务,29.98,32.7,29.57,31.93,32.83,-2.85,-8.6811,31.8727,15792922,482558191.17,14855090000.0,1485509000.0
2019-07-08,'300775,三角防务,32.83,34.5,31.5,32.35,32.35,0.48,1.4838,38.7256,19188558,634534158.61,16267265000.0,1626726500.0
2019-07-05,'300775,三角防务,32.35,32.5,31.17,31.5,32.68,-0.33,-1.0098,30.4104,15068333,480911549.57,16029425000.0,1602942500.0
2019-07-04,'300775,三角防务,32.68,33.2,29.29,29.92,30.18,2.5,8.2836,51.7285,25631478,815557104.06,16192940000.0,1619294000.0
2019-07-03,'300775,三角防务,30.18,31.08,28.5,29.88,31.02,-0.84,-2.7079,26.6577,13208874,391242940.26,14954190000.0,1495419000.0
2019-07-02,'300775,三角防务,31.02,31.91,30.57,30.57,30.04,0.98,3.2623,28.7783,14259633,445422351.53,15370410000.0,1537041000.0
2019-07-01,'300775,三角防务,30.04,30.37,29.66,29.66,29.4,0.64,2.1769,19.9505,9885492,297107977.62,14884820000.0,1488482000.0
2019-06-28,'300775,三角防务,29.4,30.96,28.35,30.2,30.51,-1.11,-3.6382,23.917,11850895,351708528.86,14567700000.0,1456770000.0
2019-06-27,'300775,三角防务,30.51,31.62,30.35,31.4,31.75,-1.24,-3.9055,24.8472,12311792,381096194.31,15117705000.0,1511770500.0
2019-06-26,'300775,三角防务,31.75,31.79,30.51,31.0,31.33,0.42,1.3406,23.3239,11556995,361863556.39,15732125000.0,1573212500.0
2019-06-25,'300775,三角防务,31.33,33.0,31.33,32.58,34.81,-3.48,-9.9971,36.9032,18285551,579323588.33,15524015000.0,1552401500.0
2019-06-24,'300775,三角防务,34.81,40.97,34.81,39.0,38.68,-3.87,-10.0052,61.4644,30455609,1131305666.0,17248355000.0,1724835500.0
2019-06-21,'300775,三角防务,38.68,38.68,34.0,34.78,35.16,3.52,10.0114,55.1602,27331874,1007367435.71,19165940000.0,1916594000.0
2019-06-20,'300775,三角防务,35.16,38.85,33.01,33.5,35.32,-0.16,-0.453,64.0012,31712608,1137095785.04,17421780000.0,1742178000.0
2019-06-19,'300775,三角防务,35.32,35.32,31.55,32.9,32.11,3.21,9.9969,52.932,26227794,875906588.0,17501060000.0,1750106000.0
2019-06-18,'300775,三角防务,32.11,34.8,31.1,32.1,31.99,0.12,0.3751,59.9945,29727278,975714258.94,15910505000.0,1591050500.0
2019-06-17,'300775,三角防务,31.99,34.68,29.48,31.6,32.76,-0.77,-2.3504,63.0164,31224647,980073208.03,15851045000.0,1585104500.0
2019-06-14,'300775,三角防务,32.76,32.76,28.71,29.0,29.78,2.98,10.0067,68.1092,33748114,1072756592.73,16232580000.0,1623258000.0
2019-06-13,'300775,三角防务,29.78,34.5,29.78,33.0,32.84,-3.06,-9.3179,69.2229,34299969,1105656354.53,14755990000.0,1475599000.0
2019-06-12,'300775,三角防务,32.84,32.84,31.52,31.52,29.85,2.99,10.0168,55.195,27349122,888500772.94,16272220000.0,1627222000.0
2019-06-11,'300775,三角防务,29.85,29.85,26.39,26.93,27.14,2.71,9.9853,50.3099,24928545,696526001.45,14790675000.0,1479067500.0
2019-06-10,'300775,三角防务,27.14,27.87,25.55,27.0,26.73,0.41,1.5339,72.9089,36126343,964002013.64,13447870000.0,1344787000.0
2019-06-06,'300775,三角防务,26.73,26.73,26.73,26.73,24.3,2.43,10.0,0.9478,469613,12552755.49,13244715000.0,1324471500.0
2019-06-05,'300775,三角防务,24.3,24.3,24.3,24.3,22.09,2.21,10.0045,0.4264,211280,5134104.0,12040650000.0,1204065000.0
2019-06-04,'300775,三角防务,22.09,22.09,22.09,22.09,20.08,2.01,10.01,1.3279,657950,14534115.5,10945595000.0,1094559500.0
2019-06-03,'300775,三角防务,20.08,20.08,20.08,20.08,18.25,1.83,10.0274,1.2254,607173,12192033.84,9949640000.0,994964000.0
2019-05-31,'300775,三角防务,18.25,18.25,18.25,18.25,16.59,1.66,10.006,0.3406,168776,3080162.0,9042875000.0,904287500.0
2019-05-30,'300775,三角防务,16.59,16.59,16.59,16.59,15.08,1.51,10.0133,0.2097,103913,1723916.67,8220345000.0,822034500.0
2019-05-29,'300775,三角防务,15.08,15.08,15.08,15.08,13.71,1.37,9.9927,0.2403,119083,1795771.64,7472140000.0,747214000.0
2019-05-28,'300775,三角防务,13.71,13.71,13.71,13.71,12.46,1.25,10.0321,0.1628,80688,1106232.48,6793305000.0,679330500.0
2019-05-27,'300775,三角防务,12.46,12.46,12.46,12.46,11.33,1.13,9.9735,0.147,72827,907424.42,6173930000.0,617393000.0
2019-05-24,'300775,三角防务,11.33,11.33,11.33,11.33,10.3,1.03,10.0,0.069,34211,387610.63,5614015000.0,561401500.0
2019-05-23,'300775,三角防务,10.3,10.3,10.3,10.3,9.36,0.94,10.0427,0.0281,13922,143396.6,5103650000.0,510365000.0
2019-05-22,'300775,三角防务,9.36,9.36,9.36,9.36,8.51,0.85,9.9882,0.026,12893,120678.48,4637880000.0,463788000.0
2019-05-21,'300775,N三角,8.51,8.51,7.09,7.09,5.91,2.6,43.9932,0.0773,38300,325720.0,4216705000.0,421670500.0
